# form	pos	sources — entries in no book, holding up nothing
# tools/prune.py
сілекейлену	?	baseline
сілекейлет	?	baseline
сілелейле	?	baseline
сілелен	?	baseline
сілемдел	?	kazdict
сілемделу	?	kazdict
сілемдену	v	baseline,kazdict
сілемдеу	?	kazdict
сілемейлен	?	baseline
сілемейлену	?	baseline
сілемейлеу	?	baseline
сілену	v	kazdict
сілесір	n	kazdict
сілею	?	baseline
сілкді	?	kazdict
сілкінісу	?	kazdict
сілкіп-сілкіп	adv	kazdict
сілкісу	?	kazdict
сілтеп-сілтеп	adv	kazdict
сімрүшді	?	kazdict
сіміріл	?	kazdict
сімірілу	?	kazdict
сіміріс	?	kazdict
сімүрді	?	kazdict
сіншү	?	kazdict
сіо	?	kazdict
сіп-сирек	adj	kazdict
сіпет	n	kazdict
сіпсебас	n	apertium,baseline
сіпүт	?	kazdict
сіргелеу	?	baseline
сірелеу	v	kazdict
сіреспелік	?	baseline
сіреуле	?	baseline
сіреулен	?	baseline
сіркеледі	?	kazdict
сіркеленді	?	kazdict
сіркелену	?	kazdict
сіркесауыт	n	apertium
сіркірет	v	kazdict
сірлеуіт	adj	kazdict
сіртақа	adj	kazdict
сірілену	?	baseline
сірінді	?	baseline
сірітті	?	kazdict
сірөкше	?	kazdict
сітті	?	kazdict
сіті	n	kazdict
сіңдүрді	?	kazdict
сіңек	?	kazdict
сіңілленді	?	kazdict
сіңілтір	n	kazdict
сіңімсіз	adj	apertium
сіңірленді	?	kazdict
сіңірлену	?	kazdict
сіңірлеу	?	kazdict
сіңірсоздылау	adj	kazdict
сіңірткіш	n	apertium
сіңірік	n	kazdict
сіңірімділік	n	kazdict
сіңіт	n	kazdict
сіңішді	?	kazdict
сіңүрді	?	kazdict
сіңүт	?	kazdict
сқш	?	baseline
сүбелеу	?	baseline
сүбрітті	?	kazdict
сүбсүз	?	kazdict
сүбутия	?	kazdict
сүглін	?	kazdict
сүгнегү	?	kazdict
сүгрүг	?	kazdict
сүзбекке	?	baseline
сүзгі-бағдарламалар	?	kazdict
сүзгілеу	?	baseline
сүзгірді	?	kazdict
сүзгүн	?	kazdict
сүзегендік	?	baseline
сүзлүнді	?	kazdict
сүзлүшді	?	kazdict
сүзме	?	kazdict
сүзтүрді	?	kazdict
сүзірей	v	kazdict
сүзүлді	?	kazdict
сүзүнді	?	kazdict
сүйдектет	v	kazdict
сүйдеу	?	baseline
сүйекаралық	adj	apertium
сүйексіңісті	adj	kazdict
сүйектестік	?	baseline
сүйекшіл	adj	kazdict
сүйекшілік	?	kazdict
сүйекқабы	?	kazdict
сүйекқата	n	kazdict
сүйелбалық	n	kazdict
сүйелдену	?	baseline
сүйелжазар	?	baseline
сүйелшөп	?	baseline
сүйемдеу	?	baseline
сүйемелденіп	?	baseline
сүйеуіш	?	baseline
сүйеініп	?	baseline
сүйкімдену	?	baseline
сүйменбаев	np	apertium
сүймендеу	?	baseline
сүйментамыр	?	baseline
сүймеслігіндін	?	kazdict
сүйрегіш	n	apertium
сүйрелу	?	baseline
сүйреткіле	?	baseline
сүйреткілеу	?	baseline
сүйреткіш	?	kazdict
сүйретіс	?	baseline,kazdict
сүйреңдес	?	baseline
сүйреңдеу	v	baseline,kazdict
сүйріктену	?	baseline
сүйріктеу	adj	kazdict
сүйімхан	np	apertium,kazdict
сүйінбала	np	apertium,kazdict
сүйінчі	?	kazdict
сүйіншігер	n	kazdict
сүйіп-сүйіп	v	kazdict
сүйірлену	?	baseline
сүйіртұмсық	?	baseline
сүйірқанат	n	kazdict
сүйүніб	?	kazdict
сүйүнүклерінден	?	kazdict
сүкию	v	kazdict
сүксүк	?	kazdict
сүкі	adj	kazdict
сүкіле	v	kazdict
сүкілеу	?	kazdict
сүкіт	adj	kazdict
сүлау	?	kazdict
сүлгіші	n	kazdict
сүлделендір	?	kazdict
сүлделендіру	?	kazdict
сүлелену	?	baseline
сүлесапа	?	baseline
сүлесиық	adj	kazdict
сүлесоқтану	?	kazdict
сүлеу	v	kazdict
сүлін	v	kazdict
сүліну	?	kazdict
сүліңкі	adj	kazdict
сүмбебай	np	apertium,kazdict
сүмбілеу	n	apertium,baseline
сүмектеу	v	baseline,kazdict
сүмелектет	?	baseline
сүмелектеу	?	baseline
сүмелең	?	baseline
сүмер	?	kazdict
сүметілу	v	baseline,kazdict
сүмпайылық	?	kazdict
сүмпию	v	baseline,kazdict
сүмсуір	n	kazdict
сүмсік	adj	kazdict
сүму	?	kazdict
сүмірею	?	baseline
сүмүрген	?	kazdict
сүнгек	n	kazdict
сүндетшілік	adj	kazdict
сүннилік	?	kazdict
сүп-суық	?	kazdict
сүпрүлді	?	kazdict
сүпрүнді	?	kazdict
сүпүргү	?	kazdict
сүпүрді	?	kazdict
сүрағаның	?	baseline
сүргек	adj	baseline,kazdict
сүргекте	v-intrans	apertium,baseline
сүргектет	v	baseline,kazdict
сүргектету	?	kazdict
сүргектеу	v	baseline,kazdict
сүргелең	n	baseline,kazdict
сүргілегіш	n	apertium
сүргілес	?	baseline
сүргілет	?	baseline
сүргілеуші	n	apertium
сүргінші	?	baseline
сүргіншілік	?	baseline
сүргіштелу	?	kazdict
сүргіштет	?	baseline
сүргіштеу	v	kazdict
сүрейлен	v	kazdict
сүрейлену	?	kazdict
сүректен	?	baseline
сүректену	?	baseline
сүрелеу	v	baseline,kazdict
сүреңсізден	?	baseline
сүреңсіздендір	?	baseline
сүреңсіздену	?	baseline
сүркекте	v	kazdict
сүркектеу	?	kazdict
сүрлемде	?	baseline
сүрлемдеу	?	baseline
сүрлеме	?	baseline
сүрлемші	n	kazdict
сүрлеуіт	n	baseline,kazdict
сүрлігу	v	kazdict
сүрмекке	?	kazdict
сүрседі	?	kazdict
сүрте-мүрте	adv	apertium
сүртию	v	kazdict
сүрткенсу	?	kazdict
сүрткілеу	?	baseline
сүртүлді	?	kazdict
сүртүнді	?	kazdict
сүртүрді	?	kazdict
сүртүшді	?	kazdict
сүршді	?	kazdict
сүрше	adv	kazdict
сүршек	n	kazdict
сүршітті	?	kazdict
сүршүк	?	kazdict
сүрілеу	?	kazdict
сүрісу	v	kazdict
сүріңкей	adj	kazdict
сүрүб	?	kazdict
сүрүк	?	kazdict
сүрүлген	?	kazdict
сүрүлді	?	kazdict
сүрүнді	?	kazdict
сүрүт	?	kazdict
сүрүшді	?	kazdict
сүрүштілер	?	kazdict
сүсді	?	kazdict
сүстүрді	?	kazdict
сүсүнді	?	kazdict
сүсүтді	?	kazdict
сүтботқа	n	kazdict
сүтейт	?	baseline
сүтен	n	kazdict
сүтею	?	baseline
сүтжапырақ	?	baseline
сүткерді	?	kazdict
сүткөже	?	kazdict
сүтні	?	kazdict
сүтпіді	?	kazdict
сүтсалма	?	kazdict
сүттену	?	baseline
сүттеу	?	kazdict
сүтхана	?	baseline
сүтшелпек	n	kazdict
сүтшұқыр	n	kazdict
сүтшәрбат	?	baseline
сүтіндел	v	kazdict
сүтінделу	?	kazdict
сүтіндік	n	kazdict
сүтқұйғыш	n	kazdict
сүтқұлақ	?	baseline
сүчүшді	?	kazdict
сүшғүрды	?	kazdict
сүшүнді	?	kazdict
сүшүрді	?	kazdict
сүғдыш	?	kazdict
сүңгек	?	baseline
сүңгер	n	kazdict
сүңгі-сүңгі	adj	kazdict
сүңгілесті	?	kazdict
сүңгілеу	?	baseline
сүңгіші	?	baseline
сүңегі	?	kazdict
сүңіледі	?	kazdict
сүңғақтық	?	kazdict
сұбашды	?	kazdict
сұблұқ	?	kazdict
сұбытты	?	kazdict
сұбышды	?	kazdict
сұбұзған	?	kazdict
сұвлады	?	kazdict
сұвлатты	?	kazdict
сұвығланды	?	kazdict
сұвғарды	?	kazdict
сұдан	np	apertium
сұдзұқ	?	kazdict
сұды	?	kazdict
сұзы	np	apertium
сұйағұ	?	kazdict
сұйран	?	kazdict
сұйылтқыштар	?	kazdict
сұйытқыш	n	apertium
сұйықмай	n	kazdict
сұйықсабын	n	kazdict
сұйқылдан	?	baseline
сұйқылдану	?	baseline
сұйқылтымдау	adj	kazdict
сұйұлды	?	kazdict
сұйұрғаллар	?	kazdict
сұлбалану	?	baseline
сұлду	?	baseline
сұлтанбалық	?	baseline
сұлтандын	?	kazdict
сұлтанзада	n	kazdict
сұлусу	?	baseline
сұлусын	?	baseline
сұлусыну	?	baseline
сұлыкеш	n	kazdict
сұлықтық	?	baseline
сұлқыну	v	kazdict
сұлұнды	?	kazdict
сұмбыр	?	baseline
сұмдану	?	baseline
сұмлыды	?	kazdict
сұмлытты	?	kazdict
сұмлышды	?	kazdict
сұмпайылан	v	kazdict
сұмпайылану	?	kazdict
сұмпейіл	adj	kazdict
сұмырайлан	?	baseline
сұмырайлану	?	baseline,kazdict
сұмырайт	v	kazdict
сұмырайту	?	kazdict
сұмқыл	adj	kazdict
сұндылаш	?	kazdict
сұнзы	?	kazdict
сұны	n	kazdict
сұнұ	?	kazdict
сұнұшды	?	kazdict
сұп-суық	adj	kazdict
сұп-сұйқылтым	adj	kazdict
сұп-сұр	adj	kazdict
сұп-сұрғылт	adj	kazdict
сұраб	?	kazdict
сұрадұм	?	kazdict
сұрамағайлар	?	kazdict
сұрампаздық	?	baseline
сұрамтал	adj	kazdict
сұраншақтан	?	baseline
сұраншақтану	?	baseline
сұранысхат	n	apertium,kazdict
сұрапылдану	?	baseline
сұрағайлар	?	kazdict
сұрағыштау	?	kazdict
сұрағыштық	n	kazdict
сұрақ-жауап	n	kazdict
сұрақшыл	adj	kazdict
сұрнайның	?	kazdict
сұрсыздан	?	baseline
сұрсыздану	?	baseline
сұрыксыз	?	kazdict
сұрыптас	?	baseline
сұрыптағыш	?	kazdict
сұрышды	?	kazdict
сұрықсыздандыр	?	baseline
сұрықсыздану	?	baseline
сұрғылттану	?	baseline
сұрқаш	?	kazdict
сұрқиялану	?	baseline
сұрқұшлады	?	kazdict
сұрқұшланды	?	kazdict
сұрұшды	?	kazdict
сұрұшлады	?	kazdict
сұссыз	adj	kazdict
сұссыздық	n	kazdict
сұстану	?	baseline
сұстию	?	baseline
сұсық	?	kazdict
сұсғақ	?	kazdict
сұттұрды	?	kazdict
сұуұқ	?	kazdict
сұфшады	?	kazdict
сұхра	n	kazdict
сұшлұнды	?	kazdict
сұшлұшды	?	kazdict
сұшұлды	?	kazdict
сұғанақтандыр	?	baseline
сұғанақтану	?	baseline
сұғлыды	?	kazdict
сұғлытты	?	kazdict
сұғратты	?	kazdict
сұғыс	?	baseline
сұғұнды	?	kazdict
сұғұрлұғ	?	kazdict
сұқаншы	adj	kazdict
сұқарлаш	?	kazdict
сұқаңдату	?	kazdict
сұқбаттасушы	n	kazdict
сұқбақ	n	kazdict
сұқдұм	?	kazdict
сұқима	n	kazdict
сұқию	v	kazdict
сұқлық	?	kazdict
сұқлұнды	?	kazdict
сұқлұшды	?	kazdict
сұқпала	?	baseline
сұқси	?	baseline
сұқсию	v	baseline,kazdict
сұқтал	?	baseline
сұқтау	v	kazdict
сұқтұрды	?	kazdict
сұқынды	?	kazdict
сұққылан	?	kazdict
сұққылану	?	kazdict
сұққылау	?	baseline,kazdict
сұқұлды	?	kazdict
сұңғағырақ	adj	kazdict
сұңғақтану	?	baseline
сұңғақтық	?	baseline
сұңғыт	adj	kazdict
сұңқию	v	kazdict
сәби-халық	n	kazdict
сәби-өзен	n	kazdict
сәбисін	v	kazdict
сәбисіну	?	kazdict
сәбитұлымен	?	baseline
сәбиға	np	apertium,kazdict
сәбиғат	np	apertium,kazdict
сәбізшіл	?	baseline
сәбір	adj	kazdict
сәбүк	?	kazdict
сәбәптән	?	baseline
сәденұлы	np	apertium
сәдеттен	?	kazdict
сәжида	?	kazdict
сәигелдек	?	baseline
сәйгелдеу	?	baseline
сәйденов	np	apertium
сәйкестендірме	?	baseline
сәйкестіне	?	baseline
сәйкілік	n	kazdict
сәкаку	?	kazdict
сәкеле	?	kazdict
сәкина	?	kazdict
сәкпаяш	n	kazdict
сәкәкүлде	v	kazdict
сәкәкүлдеу	?	kazdict
сәкәкүлді	adj	kazdict
сәл-пәл	adv	apertium,kazdict
сәл-сәл	adv	kazdict
сәлгерей	n	kazdict
сәлделеп	adv	kazdict
сәлек	n	kazdict
сәлекті	adj	kazdict
сәлелендір	v-trans	apertium
сәлемшөп	?	baseline
сәлеске	n	kazdict
сәлләмғаша	?	baseline
сәлінгердей	adj	kazdict
сәмбе	n	kazdict
сәмбідей	adj	kazdict
сәмединов	np	apertium
сәмсірек	adj	kazdict
сәмсіректе	v	kazdict
сәмсіректеу	?	kazdict
сәмсіреу	v	kazdict
сәміс	adj	kazdict
сәмүд	np	apertium
сән-салтанат	n	apertium,kazdict
сән-сәулетті	adj	apertium
сәнай	adj	kazdict
сәнгер	n	apertium,kazdict
сәнек	n	kazdict
сәнтім	n	kazdict
сәнхана	n	apertium
сәпек	n	kazdict
сәпина	np	apertium
сәрана	?	kazdict
сәркатиб	?	kazdict
сәркістей	adj	kazdict
сәркәш	?	kazdict
сәрмәст	?	kazdict
сәрпеңке	n	kazdict
сәрсекбаев	np	apertium
сәрсенқан	np	apertium
сәрсенәлі	np	apertium
сәруардіни	?	kazdict
сәрінжі	n	kazdict
сәрінжіпов	np	apertium
сәттеме	n	kazdict
сәтті-сәтсіз	adj	kazdict
сәтіл	n	kazdict
сәтқалиев	np	apertium
сәуегейлену	?	baseline
сәуегейсу	?	baseline
сәуегейсін	?	baseline
сәуек	n	kazdict
сәукілдеп	adv	kazdict
сәулегүл	?	baseline
сәулесіздік	?	baseline
сәулеттену	?	baseline
сәулімдену	v	kazdict
сәумендеу	?	baseline
сәумеңдеу	v	kazdict
